id,points_of_interest
00,87
11001,2
11002,7
11003,15
11004,4
12005,8
12006,4
13007,6
13008,10
14009,9
14010,8
21001,8
22002,15
23003,2
23004,5
24005,4
24006,3
25007,2
25008,6
31001,4
32002,4
32003,2
33004,3
33005,2
34006,3
34007,6
34008,3
35009,7
35010,3
36011,5
36012,4
36013,4
36014,6
37015,3
37016,5
41001,3
42002,1
42003,11
43004,8
43005,3
43006,15
44007,4
44008,7
45009,7
45010,18
45011,10
51001,4
51002,3
51003,11
52004,1
52005,4
52006,11
53007,1
53008,3
54009,2
61001,10
61002,9
62003,4
62004,5
63005,6
63006,6
64007,4
64008,13
71001,11
71002,3
72003,5
72004,7
73005,6
73006,4
74007,2
74008,5
74009,3
75010,7
75011,3
76012,3
76013,2
76014,3
76015,7
81001,8
81002,11
81003,7
81004,4
81005,1
82006,3
82007,2
82008,4
83009,3
83010,1
84011,3
84012,6
91001,4
91002,1
91003,3
91004,2
92005,4
92006,2
92007,5
92008,1
93009,3
93010,2
93011,1
94013,2
94014,2
94015,2
94016,1
95017,3
95018,3
95019,3
95020,2
101001,4
101002,4
101003,7
102004,5
102005,3
102006,4
103007,6
104008,2
104009,6
111002,6
111003,3
112004,3
112005,3
113006,6
113007,5
113008,1
114009,4
114010,2
114011,6
115013,3
121001,4
121002,5
122003,6
122004,1
122005,6
124006,3
124007,6
125008,1
125009,5
126010,2
126011,3
